Index,Data
1,My Life in Weeks
2,ginatrapani.org
3,Jellyfin: The Free Software Media System
4,jellyfin.org
5,Watt The Fox?
6,43z.one
7,Schemesh: Fusion between Unix shell and Lisp REPL
8,github.com/cosmos72
9,Sri Lanka scrambles to restore power after monkey causes islandwide outage
10,reuters.com
11,Create a QubesOS Gaming HVM with GPU PCI passthrough (2023)
12,qubes-os.org
13,PAROL6: 3D-printed desktop robotic arm
14,source-robotics.github.io
15,Jill – a functional programming language for the Nand2Tetris platform
16,github.com/mpatajac
17,Jane Street's Figgie card game
18,figgie.com
19,NASA has a list of 10 rules for software development
20,otago.ac.nz
21,"Carbon capture more costly than switching to renewables, researchers find"
22,techxplore.com
23,We were wrong about GPUs
24,fly.io
25,The 20 year old PSP can now connect to WPA2 WiFi Networks
26,wololo.net
27,The Big TDD Misunderstanding (2022)
28,linkedrecords.com
29,Perplexity Deep Research
30,perplexity.ai
31,The hardest working font in Manhattan
32,aresluna.org
33,Show HN: Kreuzberg – Modern async Python library for document text extraction
34,github.com/goldziher
35,"A decade later, a decade lost (2024)"
36,meyerweb.com
37,Basketball has evolved into a game of calculated decision-making
38,nabraj.com
39,Multiple Russian Threat Actors Targeting Microsoft Device Code Authentication
40,volexity.com
41,New SF public health chief was part of McKinsey opioid-marketing operation
42,sfstandard.com
43,Edgware 1924: The Making of a Suburb
44,modernism-in-metroland.co.uk
45,Alzheimer's biomarkers now visible up to a decade ahead of symptoms
46,newatlas.com
47,Dismissed Nuclear Bomb Specialists Recalled by Energy Department
48,bloomberg.com
49,It's a knowledge problem Or is it?
50,josvisser.substack.com
51,Surprise Magma Chamber Growing Under Mediterranean Volcano (2023)
52,agu.org
53,Diablo hackers uncovered a speedrun scandal
54,arstechnica.com
55,More Solar and Battery Storage Added to TX Grid Than Other Power Src Last Year
56,insideclimatenews.org
57,"Dust from car brakes more harmful than exhaust, study finds"
58,yale.edu
59,Show HN: Letting LLMs Run a Debugger
60,github.com/mohsen1
